,,Order_Select_1,Order_Select_2,Order_Select_3,Order_Select_4,Order_Select_5,Order_Select_6
2__PSTAT001,Persistent,1.0,,1.0,,,1.0
2__PSTAT001,AR Logit Default,1.0,,1.0,,,1.0
2__PSTAT001,AR Flx Logit,1.0,,1.0,,,1.0
2__PSTAT001,RLS,1.0,,1.0,,,1.0
2__PSTAT001,sRLS,1.0,,1.0,,,1.0
2__PSTAT001,RMLE,1.0,,1.0,,,1.0
2__PSTAT001,sRMLE,1.0,,1.0,,,1.0
2__PSTAT001,Bayes,1.0,,1.0,,,1.0
2__PSTAT001,Ada Bayes,1.0,,1.0,,,1.0
2__PSTAT002,Persistent,1.0,1.0,1.0,1.0,1.0,
2__PSTAT002,AR Logit Default,1.0,1.0,1.0,1.0,1.0,
2__PSTAT002,AR Flx Logit,1.0,1.0,1.0,1.0,1.0,
2__PSTAT002,RLS,1.0,1.0,1.0,1.0,1.0,
2__PSTAT002,sRLS,1.0,1.0,1.0,1.0,1.0,
2__PSTAT002,RMLE,1.0,1.0,1.0,1.0,1.0,
2__PSTAT002,sRMLE,1.0,1.0,1.0,1.0,1.0,
2__PSTAT002,Bayes,1.0,1.0,1.0,1.0,1.0,
2__PSTAT002,Ada Bayes,1.0,1.0,1.0,1.0,1.0,
E_ABRTW-1,Persistent,1.0,,1.0,1.0,1.0,
E_ABRTW-1,AR Logit Default,1.0,,1.0,1.0,1.0,
E_ABRTW-1,AR Flx Logit,1.0,,1.0,1.0,1.0,
E_ABRTW-1,RLS,1.0,,1.0,1.0,1.0,
E_ABRTW-1,sRLS,1.0,,1.0,1.0,1.0,
E_ABRTW-1,RMLE,1.0,,1.0,1.0,1.0,
E_ABRTW-1,sRMLE,1.0,,1.0,1.0,1.0,
E_ABRTW-1,Bayes,1.0,,1.0,1.0,1.0,
E_ABRTW-1,Ada Bayes,1.0,,1.0,1.0,1.0,
E_ASHWW-1,Persistent,1.0,1.0,1.0,1.0,1.0,1.0
E_ASHWW-1,AR Logit Default,1.0,1.0,1.0,1.0,1.0,1.0
E_ASHWW-1,AR Flx Logit,1.0,1.0,1.0,1.0,1.0,1.0
E_ASHWW-1,RLS,1.0,1.0,1.0,1.0,1.0,1.0
E_ASHWW-1,sRLS,1.0,1.0,1.0,1.0,1.0,1.0
E_ASHWW-1,RMLE,1.0,1.0,1.0,1.0,1.0,1.0
E_ASHWW-1,sRMLE,1.0,1.0,1.0,1.0,1.0,1.0
E_ASHWW-1,Bayes,1.0,1.0,1.0,1.0,1.0,1.0
E_ASHWW-1,Ada Bayes,1.0,1.0,1.0,1.0,1.0,1.0
E_BABAW-1,Persistent,1.0,1.0,1.0,1.0,,
E_BABAW-1,AR Logit Default,1.0,1.0,1.0,1.0,,
E_BABAW-1,AR Flx Logit,1.0,1.0,1.0,1.0,,
E_BABAW-1,RLS,1.0,1.0,1.0,1.0,,
E_BABAW-1,sRLS,1.0,1.0,1.0,1.0,,
E_BABAW-1,RMLE,1.0,1.0,1.0,1.0,,
E_BABAW-1,sRMLE,1.0,1.0,1.0,1.0,,
E_BABAW-1,Bayes,1.0,1.0,1.0,1.0,,
E_BABAW-1,Ada Bayes,1.0,1.0,1.0,1.0,,
E_BETHW-1,Persistent,1.0,,1.0,1.0,1.0,
E_BETHW-1,AR Logit Default,1.0,,1.0,1.0,1.0,
E_BETHW-1,AR Flx Logit,1.0,,1.0,1.0,1.0,
E_BETHW-1,RLS,1.0,,1.0,1.0,1.0,
E_BETHW-1,sRLS,1.0,,1.0,1.0,1.0,
E_BETHW-1,RMLE,1.0,,1.0,1.0,1.0,
E_BETHW-1,sRMLE,1.0,,1.0,1.0,1.0,
E_BETHW-1,Bayes,1.0,,1.0,1.0,1.0,
E_BETHW-1,Ada Bayes,1.0,,1.0,1.0,1.0,
E_BNWKW-1,Persistent,1.0,,1.0,1.0,,
E_BNWKW-1,AR Logit Default,1.0,,1.0,1.0,,
E_BNWKW-1,AR Flx Logit,1.0,,1.0,1.0,,
E_BNWKW-1,RLS,1.0,,1.0,1.0,,
E_BNWKW-1,sRLS,1.0,,1.0,1.0,,
E_BNWKW-1,RMLE,1.0,,1.0,1.0,,
E_BNWKW-1,sRMLE,1.0,,1.0,1.0,,
E_BNWKW-1,Bayes,1.0,,1.0,1.0,,
E_BNWKW-1,Ada Bayes,1.0,,1.0,1.0,,
E_BRDUW-1,Persistent,1.0,,1.0,1.0,,
E_BRDUW-1,AR Logit Default,1.0,,1.0,1.0,,
E_BRDUW-1,AR Flx Logit,1.0,,1.0,1.0,,
E_BRDUW-1,RLS,1.0,,1.0,1.0,,
E_BRDUW-1,sRLS,1.0,,1.0,1.0,,
E_BRDUW-1,RMLE,1.0,,1.0,1.0,,
E_BRDUW-1,sRMLE,1.0,,1.0,1.0,,
E_BRDUW-1,Bayes,1.0,,1.0,1.0,,
E_BRDUW-1,Ada Bayes,1.0,,1.0,1.0,,
E_BRYBW-1,Persistent,1.0,1.0,1.0,1.0,,1.0
E_BRYBW-1,AR Logit Default,1.0,1.0,1.0,1.0,,1.0
E_BRYBW-1,AR Flx Logit,1.0,1.0,1.0,1.0,,1.0
E_BRYBW-1,RLS,1.0,1.0,1.0,1.0,,1.0
E_BRYBW-1,sRLS,1.0,1.0,1.0,1.0,,1.0
E_BRYBW-1,RMLE,1.0,1.0,1.0,1.0,,1.0
E_BRYBW-1,sRMLE,1.0,1.0,1.0,1.0,,1.0
E_BRYBW-1,Bayes,1.0,1.0,1.0,1.0,,1.0
E_BRYBW-1,Ada Bayes,1.0,1.0,1.0,1.0,,1.0
E_BTUIW-2,Persistent,1.0,1.0,,,,
E_BTUIW-2,AR Logit Default,1.0,1.0,,,,
E_BTUIW-2,AR Flx Logit,1.0,1.0,,,,
E_BTUIW-2,RLS,1.0,1.0,,,,
E_BTUIW-2,sRLS,1.0,1.0,,,,
E_BTUIW-2,RMLE,1.0,1.0,,,,
E_BTUIW-2,sRMLE,1.0,1.0,,,,
E_BTUIW-2,Bayes,1.0,1.0,,,,
E_BTUIW-2,Ada Bayes,1.0,1.0,,,,
E_BURBO,Persistent,1.0,1.0,1.0,,1.0,
E_BURBO,AR Logit Default,1.0,1.0,1.0,,1.0,
E_BURBO,AR Flx Logit,1.0,1.0,1.0,,1.0,
E_BURBO,RLS,1.0,1.0,1.0,,1.0,
E_BURBO,sRLS,1.0,1.0,1.0,,1.0,
E_BURBO,RMLE,1.0,1.0,1.0,,1.0,
E_BURBO,sRMLE,1.0,1.0,1.0,,1.0,
E_BURBO,Bayes,1.0,1.0,1.0,,1.0,
E_BURBO,Ada Bayes,1.0,1.0,1.0,,1.0,
E_CLDRW-1,Persistent,1.0,,1.0,,1.0,1.0
E_CLDRW-1,AR Logit Default,1.0,,1.0,,1.0,1.0
E_CLDRW-1,AR Flx Logit,1.0,,1.0,,1.0,1.0
E_CLDRW-1,RLS,1.0,,1.0,,1.0,1.0
E_CLDRW-1,sRLS,1.0,,1.0,,1.0,1.0
E_CLDRW-1,RMLE,1.0,,1.0,,1.0,1.0
E_CLDRW-1,sRMLE,1.0,,1.0,,1.0,1.0
E_CLDRW-1,Bayes,1.0,,1.0,,1.0,1.0
E_CLDRW-1,Ada Bayes,1.0,,1.0,,1.0,1.0
E_CLFLW-1,Persistent,1.0,1.0,1.0,,1.0,
E_CLFLW-1,AR Logit Default,1.0,1.0,1.0,,1.0,
E_CLFLW-1,AR Flx Logit,1.0,1.0,1.0,,1.0,
E_CLFLW-1,RLS,1.0,1.0,1.0,,1.0,
E_CLFLW-1,sRLS,1.0,1.0,1.0,,1.0,
E_CLFLW-1,RMLE,1.0,1.0,1.0,,1.0,
E_CLFLW-1,sRMLE,1.0,1.0,1.0,,1.0,
E_CLFLW-1,Bayes,1.0,1.0,1.0,,1.0,
E_CLFLW-1,Ada Bayes,1.0,1.0,1.0,,1.0,
E_DALSW-1,Persistent,1.0,1.0,1.0,1.0,,
E_DALSW-1,AR Logit Default,1.0,1.0,1.0,1.0,,
E_DALSW-1,AR Flx Logit,1.0,1.0,1.0,1.0,,
E_DALSW-1,RLS,1.0,1.0,1.0,1.0,,
E_DALSW-1,sRLS,1.0,1.0,1.0,1.0,,
E_DALSW-1,RMLE,1.0,1.0,1.0,1.0,,
E_DALSW-1,sRMLE,1.0,1.0,1.0,1.0,,
E_DALSW-1,Bayes,1.0,1.0,1.0,1.0,,
E_DALSW-1,Ada Bayes,1.0,1.0,1.0,1.0,,
E_GDSTW-1,Persistent,1.0,,1.0,1.0,1.0,
E_GDSTW-1,AR Logit Default,1.0,,1.0,1.0,1.0,
E_GDSTW-1,AR Flx Logit,1.0,,1.0,1.0,1.0,
E_GDSTW-1,RLS,1.0,,1.0,1.0,1.0,
E_GDSTW-1,sRLS,1.0,,1.0,1.0,1.0,
E_GDSTW-1,RMLE,1.0,,1.0,1.0,1.0,
E_GDSTW-1,sRMLE,1.0,,1.0,1.0,1.0,
E_GDSTW-1,Bayes,1.0,,1.0,1.0,1.0,
E_GDSTW-1,Ada Bayes,1.0,,1.0,1.0,1.0,
E_GFLDW-1,Persistent,1.0,1.0,1.0,,1.0,
E_GFLDW-1,AR Logit Default,1.0,1.0,1.0,,1.0,
E_GFLDW-1,AR Flx Logit,1.0,1.0,1.0,,1.0,
E_GFLDW-1,RLS,1.0,1.0,1.0,,1.0,
E_GFLDW-1,sRLS,1.0,1.0,1.0,,1.0,
E_GFLDW-1,RMLE,1.0,1.0,1.0,,1.0,
E_GFLDW-1,sRMLE,1.0,1.0,1.0,,1.0,
E_GFLDW-1,Bayes,1.0,1.0,1.0,,1.0,
E_GFLDW-1,Ada Bayes,1.0,1.0,1.0,,1.0,
E_GLOFW-1,Persistent,1.0,1.0,1.0,,1.0,1.0
E_GLOFW-1,AR Logit Default,1.0,1.0,1.0,,1.0,1.0
E_GLOFW-1,AR Flx Logit,1.0,1.0,1.0,,1.0,1.0
E_GLOFW-1,RLS,1.0,1.0,1.0,,1.0,1.0
E_GLOFW-1,sRLS,1.0,1.0,1.0,,1.0,1.0
E_GLOFW-1,RMLE,1.0,1.0,1.0,,1.0,1.0
E_GLOFW-1,sRMLE,1.0,1.0,1.0,,1.0,1.0
E_GLOFW-1,Bayes,1.0,1.0,1.0,,1.0,1.0
E_GLOFW-1,Ada Bayes,1.0,1.0,1.0,,1.0,1.0
E_HBHDW-1,Persistent,1.0,,1.0,,1.0,
E_HBHDW-1,AR Logit Default,1.0,,1.0,,1.0,
E_HBHDW-1,AR Flx Logit,1.0,,1.0,,1.0,
E_HBHDW-1,RLS,1.0,,1.0,,1.0,
E_HBHDW-1,sRLS,1.0,,1.0,,1.0,
E_HBHDW-1,RMLE,1.0,,1.0,,1.0,
E_HBHDW-1,sRMLE,1.0,,1.0,,1.0,
E_HBHDW-1,Bayes,1.0,,1.0,,1.0,
E_HBHDW-1,Ada Bayes,1.0,,1.0,,1.0,
E_HLGLW-1,Persistent,1.0,1.0,1.0,1.0,,
E_HLGLW-1,AR Logit Default,1.0,1.0,1.0,1.0,,
E_HLGLW-1,AR Flx Logit,1.0,1.0,1.0,1.0,,
E_HLGLW-1,RLS,1.0,1.0,1.0,1.0,,
E_HLGLW-1,sRLS,1.0,1.0,1.0,1.0,,
E_HLGLW-1,RMLE,1.0,1.0,1.0,1.0,,
E_HLGLW-1,sRMLE,1.0,1.0,1.0,1.0,,
E_HLGLW-1,Bayes,1.0,1.0,1.0,1.0,,
E_HLGLW-1,Ada Bayes,1.0,1.0,1.0,1.0,,
E_HLTWW-1,Persistent,1.0,1.0,1.0,1.0,1.0,1.0
E_HLTWW-1,AR Logit Default,1.0,1.0,1.0,1.0,1.0,1.0
E_HLTWW-1,AR Flx Logit,1.0,1.0,1.0,1.0,1.0,1.0
E_HLTWW-1,RLS,1.0,1.0,1.0,1.0,1.0,1.0
E_HLTWW-1,sRLS,1.0,1.0,1.0,1.0,1.0,1.0
E_HLTWW-1,RMLE,1.0,1.0,1.0,1.0,1.0,1.0
E_HLTWW-1,sRMLE,1.0,1.0,1.0,1.0,1.0,1.0
E_HLTWW-1,Bayes,1.0,1.0,1.0,1.0,1.0,1.0
E_HLTWW-1,Ada Bayes,1.0,1.0,1.0,1.0,1.0,1.0
E_HYWDW-1,Persistent,1.0,1.0,1.0,,1.0,
E_HYWDW-1,AR Logit Default,1.0,1.0,1.0,,1.0,
E_HYWDW-1,AR Flx Logit,1.0,1.0,1.0,,1.0,
E_HYWDW-1,RLS,1.0,1.0,1.0,,1.0,
E_HYWDW-1,sRLS,1.0,1.0,1.0,,1.0,
E_HYWDW-1,RMLE,1.0,1.0,1.0,,1.0,
E_HYWDW-1,sRMLE,1.0,1.0,1.0,,1.0,
E_HYWDW-1,Bayes,1.0,1.0,1.0,,1.0,
E_HYWDW-1,Ada Bayes,1.0,1.0,1.0,,1.0,
E_MINSW-1,Persistent,1.0,,1.0,1.0,,
E_MINSW-1,AR Logit Default,1.0,,1.0,1.0,,
E_MINSW-1,AR Flx Logit,1.0,,1.0,1.0,,
E_MINSW-1,RLS,1.0,,1.0,1.0,,
E_MINSW-1,sRLS,1.0,,1.0,1.0,,
E_MINSW-1,RMLE,1.0,,1.0,1.0,,
E_MINSW-1,sRMLE,1.0,,1.0,1.0,,
E_MINSW-1,Bayes,1.0,,1.0,1.0,,
E_MINSW-1,Ada Bayes,1.0,,1.0,1.0,,
E_TLYMW-1,Persistent,1.0,,1.0,,1.0,
E_TLYMW-1,AR Logit Default,1.0,,1.0,,1.0,
E_TLYMW-1,AR Flx Logit,1.0,,1.0,,1.0,
E_TLYMW-1,RLS,1.0,,1.0,,1.0,
E_TLYMW-1,sRLS,1.0,,1.0,,1.0,
E_TLYMW-1,RMLE,1.0,,1.0,,1.0,
E_TLYMW-1,sRMLE,1.0,,1.0,,1.0,
E_TLYMW-1,Bayes,1.0,,1.0,,1.0,
E_TLYMW-1,Ada Bayes,1.0,,1.0,,1.0,
E_TULWW-1,Persistent,1.0,1.0,1.0,,,1.0
E_TULWW-1,AR Logit Default,1.0,1.0,1.0,,,1.0
E_TULWW-1,AR Flx Logit,1.0,1.0,1.0,,,1.0
E_TULWW-1,RLS,1.0,1.0,1.0,,,1.0
E_TULWW-1,sRLS,1.0,1.0,1.0,,,1.0
E_TULWW-1,RMLE,1.0,1.0,1.0,,,1.0
E_TULWW-1,sRMLE,1.0,1.0,1.0,,,1.0
E_TULWW-1,Bayes,1.0,1.0,1.0,,,1.0
E_TULWW-1,Ada Bayes,1.0,1.0,1.0,,,1.0
E_TULWW-2,Persistent,1.0,,1.0,,,
E_TULWW-2,AR Logit Default,1.0,,1.0,,,
E_TULWW-2,AR Flx Logit,1.0,,1.0,,,
E_TULWW-2,RLS,1.0,,1.0,,,
E_TULWW-2,sRLS,1.0,,1.0,,,
E_TULWW-2,RMLE,1.0,,1.0,,,
E_TULWW-2,sRMLE,1.0,,1.0,,,
E_TULWW-2,Bayes,1.0,,1.0,,,
E_TULWW-2,Ada Bayes,1.0,,1.0,,,
T_ABRBO-1,Persistent,1.0,1.0,1.0,,,
T_ABRBO-1,AR Logit Default,1.0,1.0,1.0,,,
T_ABRBO-1,AR Flx Logit,1.0,1.0,1.0,,,
T_ABRBO-1,RLS,1.0,1.0,1.0,,,
T_ABRBO-1,sRLS,1.0,1.0,1.0,,,
T_ABRBO-1,RMLE,1.0,1.0,1.0,,,
T_ABRBO-1,sRMLE,1.0,1.0,1.0,,,
T_ABRBO-1,Bayes,1.0,1.0,1.0,,,
T_ABRBO-1,Ada Bayes,1.0,1.0,1.0,,,
T_ACHRW-1,Persistent,1.0,1.0,1.0,1.0,1.0,
T_ACHRW-1,AR Logit Default,1.0,1.0,1.0,1.0,1.0,
T_ACHRW-1,AR Flx Logit,1.0,1.0,1.0,1.0,1.0,
T_ACHRW-1,RLS,1.0,1.0,1.0,1.0,1.0,
T_ACHRW-1,sRLS,1.0,1.0,1.0,1.0,1.0,
T_ACHRW-1,RMLE,1.0,1.0,1.0,1.0,1.0,
T_ACHRW-1,sRMLE,1.0,1.0,1.0,1.0,1.0,
T_ACHRW-1,Bayes,1.0,1.0,1.0,1.0,1.0,
T_ACHRW-1,Ada Bayes,1.0,1.0,1.0,1.0,1.0,
T_AKGLW-2,Persistent,1.0,,,,,1.0
T_AKGLW-2,AR Logit Default,1.0,,,,,1.0
T_AKGLW-2,AR Flx Logit,1.0,,,,,1.0
T_AKGLW-2,RLS,1.0,,,,,1.0
T_AKGLW-2,sRLS,1.0,,,,,1.0
T_AKGLW-2,RMLE,1.0,,,,,1.0
T_AKGLW-2,sRMLE,1.0,,,,,1.0
T_AKGLW-2,Bayes,1.0,,,,,1.0
T_AKGLW-2,Ada Bayes,1.0,,,,,1.0
T_ANSUW-1,Persistent,1.0,1.0,1.0,,,1.0
T_ANSUW-1,AR Logit Default,1.0,1.0,1.0,,,1.0
T_ANSUW-1,AR Flx Logit,1.0,1.0,1.0,,,1.0
T_ANSUW-1,RLS,1.0,1.0,1.0,,,1.0
T_ANSUW-1,sRLS,1.0,1.0,1.0,,,1.0
T_ANSUW-1,RMLE,1.0,1.0,1.0,,,1.0
T_ANSUW-1,sRMLE,1.0,1.0,1.0,,,1.0
T_ANSUW-1,Bayes,1.0,1.0,1.0,,,1.0
T_ANSUW-1,Ada Bayes,1.0,1.0,1.0,,,1.0
T_ARCHW-1,Persistent,1.0,1.0,,1.0,1.0,
T_ARCHW-1,AR Logit Default,1.0,1.0,,1.0,1.0,
T_ARCHW-1,AR Flx Logit,1.0,1.0,,1.0,1.0,
T_ARCHW-1,RLS,1.0,1.0,,1.0,1.0,
T_ARCHW-1,sRLS,1.0,1.0,,1.0,1.0,
T_ARCHW-1,RMLE,1.0,1.0,,1.0,1.0,
T_ARCHW-1,sRMLE,1.0,1.0,,1.0,1.0,
T_ARCHW-1,Bayes,1.0,1.0,,1.0,1.0,
T_ARCHW-1,Ada Bayes,1.0,1.0,,1.0,1.0,
T_BEATO-1,Persistent,1.0,1.0,1.0,,,
T_BEATO-1,AR Logit Default,1.0,1.0,1.0,,,
T_BEATO-1,AR Flx Logit,1.0,1.0,1.0,,,
T_BEATO-1,RLS,1.0,1.0,1.0,,,
T_BEATO-1,sRLS,1.0,1.0,1.0,,,
T_BEATO-1,RMLE,1.0,1.0,1.0,,,
T_BEATO-1,sRMLE,1.0,1.0,1.0,,,
T_BEATO-1,Bayes,1.0,1.0,1.0,,,
T_BEATO-1,Ada Bayes,1.0,1.0,1.0,,,
T_BEATO-2,Persistent,1.0,,1.0,,,
T_BEATO-2,AR Logit Default,1.0,,1.0,,,
T_BEATO-2,AR Flx Logit,1.0,,1.0,,,
T_BEATO-2,RLS,1.0,,1.0,,,
T_BEATO-2,sRLS,1.0,,1.0,,,
T_BEATO-2,RMLE,1.0,,1.0,,,
T_BEATO-2,sRMLE,1.0,,1.0,,,
T_BEATO-2,Bayes,1.0,,1.0,,,
T_BEATO-2,Ada Bayes,1.0,,1.0,,,
T_BEATO-3,Persistent,1.0,1.0,1.0,,1.0,
T_BEATO-3,AR Logit Default,1.0,1.0,1.0,,1.0,
T_BEATO-3,AR Flx Logit,1.0,1.0,1.0,,1.0,
T_BEATO-3,RLS,1.0,1.0,1.0,,1.0,
T_BEATO-3,sRLS,1.0,1.0,1.0,,1.0,
T_BEATO-3,RMLE,1.0,1.0,1.0,,1.0,
T_BEATO-3,sRMLE,1.0,1.0,1.0,,1.0,
T_BEATO-3,Bayes,1.0,1.0,1.0,,1.0,
T_BEATO-3,Ada Bayes,1.0,1.0,1.0,,1.0,
T_BEATO-4,Persistent,1.0,1.0,1.0,1.0,1.0,
T_BEATO-4,AR Logit Default,1.0,1.0,1.0,1.0,1.0,
T_BEATO-4,AR Flx Logit,1.0,1.0,1.0,1.0,1.0,
T_BEATO-4,RLS,1.0,1.0,1.0,1.0,1.0,
T_BEATO-4,sRLS,1.0,1.0,1.0,1.0,1.0,
T_BEATO-4,RMLE,1.0,1.0,1.0,1.0,1.0,
T_BEATO-4,sRMLE,1.0,1.0,1.0,1.0,1.0,
T_BEATO-4,Bayes,1.0,1.0,1.0,1.0,1.0,
T_BEATO-4,Ada Bayes,1.0,1.0,1.0,1.0,1.0,
T_BEINW-1,Persistent,1.0,,1.0,,,
T_BEINW-1,AR Logit Default,1.0,,1.0,,,
T_BEINW-1,AR Flx Logit,1.0,,1.0,,,
T_BEINW-1,RLS,1.0,,1.0,,,
T_BEINW-1,sRLS,1.0,,1.0,,,
T_BEINW-1,RMLE,1.0,,1.0,,,
T_BEINW-1,sRMLE,1.0,,1.0,,,
T_BEINW-1,Bayes,1.0,,1.0,,,
T_BEINW-1,Ada Bayes,1.0,,1.0,,,
T_BHLAW-1,Persistent,1.0,,1.0,1.0,1.0,
T_BHLAW-1,AR Logit Default,1.0,,1.0,1.0,1.0,
T_BHLAW-1,AR Flx Logit,1.0,,1.0,1.0,1.0,
T_BHLAW-1,RLS,1.0,,1.0,1.0,1.0,
T_BHLAW-1,sRLS,1.0,,1.0,1.0,1.0,
T_BHLAW-1,RMLE,1.0,,1.0,1.0,1.0,
T_BHLAW-1,sRMLE,1.0,,1.0,1.0,1.0,
T_BHLAW-1,Bayes,1.0,,1.0,1.0,1.0,
T_BHLAW-1,Ada Bayes,1.0,,1.0,1.0,1.0,
T_BLKWW-1,Persistent,1.0,1.0,1.0,,1.0,
T_BLKWW-1,AR Logit Default,1.0,1.0,1.0,,1.0,
T_BLKWW-1,AR Flx Logit,1.0,1.0,1.0,,1.0,
T_BLKWW-1,RLS,1.0,1.0,1.0,,1.0,
T_BLKWW-1,sRLS,1.0,1.0,1.0,,1.0,
T_BLKWW-1,RMLE,1.0,1.0,1.0,,1.0,
T_BLKWW-1,sRMLE,1.0,1.0,1.0,,1.0,
T_BLKWW-1,Bayes,1.0,1.0,1.0,,1.0,
T_BLKWW-1,Ada Bayes,1.0,1.0,1.0,,1.0,
T_BLLA-1,Persistent,1.0,,1.0,1.0,,1.0
T_BLLA-1,AR Logit Default,1.0,,1.0,1.0,,1.0
T_BLLA-1,AR Flx Logit,1.0,,1.0,1.0,,1.0
T_BLLA-1,RLS,1.0,,1.0,1.0,,1.0
T_BLLA-1,sRLS,1.0,,1.0,1.0,,1.0
T_BLLA-1,RMLE,1.0,,1.0,1.0,,1.0
T_BLLA-1,sRMLE,1.0,,1.0,1.0,,1.0
T_BLLA-1,Bayes,1.0,,1.0,1.0,,1.0
T_BLLA-1,Ada Bayes,1.0,,1.0,1.0,,1.0
T_BLLA-2,Persistent,1.0,1.0,1.0,1.0,,
T_BLLA-2,AR Logit Default,1.0,1.0,1.0,1.0,,
T_BLLA-2,AR Flx Logit,1.0,1.0,1.0,1.0,,
T_BLLA-2,RLS,1.0,1.0,1.0,1.0,,
T_BLLA-2,sRLS,1.0,1.0,1.0,1.0,,
T_BLLA-2,RMLE,1.0,1.0,1.0,1.0,,
T_BLLA-2,sRMLE,1.0,1.0,1.0,1.0,,
T_BLLA-2,Bayes,1.0,1.0,1.0,1.0,,
T_BLLA-2,Ada Bayes,1.0,1.0,1.0,1.0,,
T_BOWLW-1,Persistent,1.0,1.0,1.0,,,
T_BOWLW-1,AR Logit Default,1.0,1.0,1.0,,,
T_BOWLW-1,AR Flx Logit,1.0,1.0,1.0,,,
T_BOWLW-1,RLS,1.0,1.0,1.0,,,
T_BOWLW-1,sRLS,1.0,1.0,1.0,,,
T_BOWLW-1,RMLE,1.0,1.0,1.0,,,
T_BOWLW-1,sRMLE,1.0,1.0,1.0,,,
T_BOWLW-1,Bayes,1.0,1.0,1.0,,,
T_BOWLW-1,Ada Bayes,1.0,1.0,1.0,,,
T_BRBEO-1,Persistent,1.0,1.0,1.0,,,
T_BRBEO-1,AR Logit Default,1.0,1.0,1.0,,,
T_BRBEO-1,AR Flx Logit,1.0,1.0,1.0,,,
T_BRBEO-1,RLS,1.0,1.0,1.0,,,
T_BRBEO-1,sRLS,1.0,1.0,1.0,,,
T_BRBEO-1,RMLE,1.0,1.0,1.0,,,
T_BRBEO-1,sRMLE,1.0,1.0,1.0,,,
T_BRBEO-1,Bayes,1.0,1.0,1.0,,,
T_BRBEO-1,Ada Bayes,1.0,1.0,1.0,,,
T_CGTHW-1,Persistent,1.0,,1.0,1.0,1.0,1.0
T_CGTHW-1,AR Logit Default,1.0,,1.0,1.0,1.0,1.0
T_CGTHW-1,AR Flx Logit,1.0,,1.0,1.0,1.0,1.0
T_CGTHW-1,RLS,1.0,,1.0,1.0,1.0,1.0
T_CGTHW-1,sRLS,1.0,,1.0,1.0,1.0,1.0
T_CGTHW-1,RMLE,1.0,,1.0,1.0,1.0,1.0
T_CGTHW-1,sRMLE,1.0,,1.0,1.0,1.0,1.0
T_CGTHW-1,Bayes,1.0,,1.0,1.0,1.0,1.0
T_CGTHW-1,Ada Bayes,1.0,,1.0,1.0,1.0,1.0
T_CLDCW-1,Persistent,1.0,1.0,1.0,1.0,1.0,1.0
T_CLDCW-1,AR Logit Default,1.0,1.0,1.0,1.0,1.0,1.0
T_CLDCW-1,AR Flx Logit,1.0,1.0,1.0,1.0,1.0,1.0
